kind,wp_path,gsc_clicks,gsc_impressions,shopify_handle_match,suggested_target,existing_redirect,status,action
product,/produit/shampoing-coloristeur-blond-soleil,0,13,shampoing-coloristeur-blond-soleil,/products/shampoing-coloristeur-blond-soleil,,product_match,CREATE → /products/shampoing-coloristeur-blond-soleil
product,/produit/shampoing-coloristeur-blond-vanille,0,25,shampoing-coloristeur-blond-vanille,/products/shampoing-coloristeur-blond-vanille,,product_match,CREATE → /products/shampoing-coloristeur-blond-vanille
product,/produit/shampoing-coloristeur-chocolat,0,0,shampoing-coloristeur-chocolat,/products/shampoing-coloristeur-chocolat,,product_missing,CREATE → /products/shampoing-coloristeur-chocolat
product,/produit/shampoing-coloristeur-cuivre,0,41,shampoing-coloristeur-cuivre,/products/shampoing-coloristeur-cuivre,,product_missing,CREATE → /products/shampoing-coloristeur-cuivre
product,/produit/shampoing-coloristeur-marron-noisette,0,12,shampoing-coloristeur-marron-noisette,/products/shampoing-coloristeur-marron-noisette,,product_missing,CREATE → /products/shampoing-coloristeur-marron-noisette
product,/produit/shampoing-cuivre-intense-testeur,0,185,shampoing-cuivre-intense-testeur,/products/shampoing-cuivre-intense-testeur,,product_missing,CREATE → /products/shampoing-cuivre-intense-testeur
product,/produit/shampoing-dejaunisseur-platine,0,8,shampoing-dejaunisseur-platine,/products/shampoing-dejaunisseur-platine,,product_match,CREATE → /products/shampoing-dejaunisseur-platine
product,/produit/shampoing-dejaunisseur-platine-2,0,59,shampoing-dejaunisseur-platine-2,/products/shampoing-dejaunisseur-platine-2,,product_missing,CREATE → /products/shampoing-dejaunisseur-platine-2
product,/produit/shampoing-gel-douche-1-l,0,4,shampoing-gel-douche-1-l,/products/shampoing-gel-douche-1-l,,product_missing,CREATE → /products/shampoing-gel-douche-1-l
product,/produit/shampoing-gel-douche-homme,0,14,shampoing-gel-douche-homme,/products/shampoing-gel-douche-homme,,product_missing,CREATE → /products/shampoing-gel-douche-homme
product,/produit/shampoing-gel-douche-testeur,0,43,shampoing-gel-douche-testeur,/products/shampoing-gel-douche-testeur,,product_match,CREATE → /products/shampoing-gel-douche-testeur
product,/produit/shampoing-ha-repulpe-1-l,0,6,shampoing-ha-repulpe-1-l,/products/shampoing-ha-repulpe-1-l,,product_missing,CREATE → /products/shampoing-ha-repulpe-1-l
product,/produit/shampoing-lissant,0,1,shampoing-lissant,/products/shampoing-lissant,/products/shampoing-lissant-testeur,product_match,"CONFLICT — exists pointing to /products/shampoing-lissant-testeur, recommend /products/shampoing-lissant"
product,/produit/shampoing-lissant-1l,0,3,shampoing-lissant-1l,/products/shampoing-lissant-1l,,product_missing,CREATE → /products/shampoing-lissant-1l
product,/produit/shampoing-marron-noisette-testeur,0,2,shampoing-marron-noisette-testeur,/products/shampoing-marron-noisette-testeur,,product_missing,CREATE → /products/shampoing-marron-noisette-testeur
product,/produit/shampoing-nourrissant,0,0,shampoing-nourrissant,/products/shampoing-nourrissant,/products/shampoing-nourrissant,product_match,OK
product,/produit/shampoing-nourrissant-1-l,0,2,shampoing-nourrissant-1-l,/products/shampoing-nourrissant-1-l,,product_missing,CREATE → /products/shampoing-nourrissant-1-l
product,/produit/shampoing-nourrissant-testeur,0,6,shampoing-nourrissant-testeur,/products/shampoing-nourrissant-testeur,,product_match,CREATE → /products/shampoing-nourrissant-testeur
product,/produit/shampoing-protecteur-de-couleur,0,4,shampoing-protecteur-de-couleur,/products/shampoing-protecteur-de-couleur,,product_match,CREATE → /products/shampoing-protecteur-de-couleur
product,/produit/shampoing-protecteur-de-couleur-1l,0,1,shampoing-protecteur-de-couleur-1l,/products/shampoing-protecteur-de-couleur-1l,,product_missing,CREATE → /products/shampoing-protecteur-de-couleur-1l
product,/produit/shampoing-purifiant,0,0,shampoing-purifiant,/products/shampoing-purifiant,,product_match,CREATE → /products/shampoing-purifiant
product,/produit/shampoing-purifiant-1l,0,7,shampoing-purifiant-1l,/products/shampoing-purifiant-1l,,product_missing,CREATE → /products/shampoing-purifiant-1l
product,/produit/shampoing-repulpe,0,1,shampoing-repulpe,/products/shampoing-repulpe,,product_missing,CREATE → /products/shampoing-repulpe
product,/produit/shampoing-volume-1l,0,12,shampoing-volume-1l,/products/shampoing-volume-1l,,product_missing,CREATE → /products/shampoing-volume-1l
product,/produit/shampoing-volume-testeur,0,5,shampoing-volume-testeur,/products/shampoing-volume-testeur,,product_match,CREATE → /products/shampoing-volume-testeur
product,/produit/spray-texturisant-2,0,12,spray-texturisant-2,/products/spray-texturisant-2,,product_missing,CREATE → /products/spray-texturisant-2
product,/produit/spray-texturisant-testeur,0,16,spray-texturisant-testeur,/products/spray-texturisant-testeur,,product_match,CREATE → /products/spray-texturisant-testeur
product,/produit/trio-boucles,0,0,trio-boucles,/products/trio-boucles,,product_missing,CREATE → /products/trio-boucles
product,/produit/trio-ha-repulpe,0,2,trio-ha-repulpe,/products/trio-ha-repulpe,,product_missing,CREATE → /products/trio-ha-repulpe
product,/produit/trio-lissant,0,4,trio-lissant,/products/trio-lissant,,product_missing,CREATE → /products/trio-lissant
product,/produit/trio-nourrissant,0,2,trio-nourrissant,/products/trio-nourrissant,,product_missing,CREATE → /products/trio-nourrissant
product,/produit/trio-protecteur-de-couleur,0,0,trio-protecteur-de-couleur,/products/trio-protecteur-de-couleur,,product_missing,CREATE → /products/trio-protecteur-de-couleur
product,/produit/trio-volume,0,0,trio-volume,/products/trio-volume,,product_missing,CREATE → /products/trio-volume
product,/produit/video-promo,0,3,video-promo,/products/video-promo,,product_missing,CREATE → /products/video-promo
product_cat,/categorie-produit/coloristeur,0,0,coloristeur,/collections/coloristeur,,collection_missing,CREATE → /collections/coloristeur
