finished_sku,bulk_sku,bulk_qty_kg,flacon_sku,bouchon_sku,contenance,family
shampoing-purifiant-500ml,BULK-shampoing-purifiant,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-purifiant-1000ml,BULK-shampoing-purifiant,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
shampoing-protecteur-de-couleur,BULK-shampoing-protecteur-de-couleur,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
shampoing-protecteur-de-couleur-500ml,BULK-shampoing-protecteur-de-couleur,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-protecteur-de-couleur-1000ml,BULK-shampoing-protecteur-de-couleur,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
shampoing-gel-douche,BULK-shampoing-gel-douche,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
shampoing-gel-douche-500ml,BULK-shampoing-gel-douche,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-gel-douche-1000ml,BULK-shampoing-gel-douche,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
masque-nourrissant,BULK-masque-nourrissant,0.2,POT-200,CAPOT-200,200,masques
masque-nourrissant-400ml,BULK-masque-nourrissant,0.4,POT-400,CAPOT-400,400,masques
masque-nourrissant-1000ml,BULK-masque-nourrissant,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,masques
masque-boucles,BULK-masque-boucles,0.2,POT-200,CAPOT-200,200,masques
masque-boucles-400ml,BULK-masque-boucles,0.4,POT-400,CAPOT-400,400,masques
masque-boucles-1000ml,BULK-masque-boucles,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,masques
masque-lissant,BULK-masque-lissant,0.2,POT-200,CAPOT-200,200,masques
masque-lissant-400ml,BULK-masque-lissant,0.4,POT-400,CAPOT-400,400,masques
masque-lissant-1000ml,BULK-masque-lissant,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,masques
masque-ha-repulpe,BULK-masque-ha-repulpe,0.2,POT-200,CAPOT-200,200,masques
masque-ha-repulpe-400ml,BULK-masque-ha-repulpe,0.4,POT-400,CAPOT-400,400,masques
masque-ha-repulpe-1000ml,BULK-masque-ha-repulpe,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,masques
